latitude,longitude,number of bikes,station id
38.7968,-77.0026,3.0,157.0
38.961737,-76.995922,6.0,158.0
38.8828,-77.2283,4.0,159.0
38.959361,-76.946361,12.0,160.0
38.840107,-76.9753,4.0,161.0
38.9546,-76.9595,10.0,162.0
38.975505,-76.952199,10.0,163.0
38.974205,-76.995227,8.0,164.0
38.939271,-76.955047,12.0,165.0
38.987,-77.029417,0.0,166.0
38.896923,-77.086502,3.0,167.0
38.822738,-77.049265,4.0,168.0
38.892556,-77.082089,5.0,169.0
39.105642,-77.20386,2.0,170.0
38.964207741006206,-77.35428035259247,9.0,171.0
39.121327,-77.164969,9.0,172.0
38.886048,-77.142317,10.0,173.0
38.888282,-77.111066,7.0,174.0
39.12333,-77.16486,2.0,175.0
38.92400207520182,-77.20812678337097,7.0,176.0
39.0473228,-77.0510969,2.0,177.0
38.888524,-76.913188,4.0,178.0
38.955349,-76.968084,6.0,179.0
38.965742,-76.954803,0.0,180.0
38.962119,-76.935578,14.0,181.0
38.968842,-76.954171,2.0,182.0
38.80576284873485,-77.060626745224,0.0,183.0
38.8946,-77.072305,8.0,184.0
39.04753,-77.11287,5.0,185.0
38.99403485060837,-77.03037142753601,2.0,186.0
38.7859,-77.0167,13.0,187.0
38.977933,-77.006472,1.0,188.0
38.946607921214984,-77.3393914103508,8.0,189.0
38.88994,-76.825535,11.0,190.0
39.085314,-76.940547,8.0,191.0
39.0461435,-76.9757228,2.0,192.0
39.0313141,-77.0041217,11.0,193.0
39.081638,-76.945495,4.0,194.0
39.0449444,-76.9811552,6.0,195.0
39.0456521,-76.9854381,1.0,196.0
39.0391022,-76.9918237,0.0,197.0
39.0778751,-76.9418666,23.0,198.0
39.0379809,-76.9945391,6.0,199.0
38.87947660895433,-77.11456328630447,6.0,200.0
38.856319,-77.11153,13.0,201.0
38.9725,-76.9807,15.0,202.0
38.949008,-77.355299,5.0,203.0
38.994113,-77.076986,11.0,204.0
38.96454350924588,-77.07513481378555,8.0,205.0
38.876227445751475,-76.94098126958124,3.0,206.0
38.934405,-77.032687,15.0,207.0
38.942024743273045,-77.01822102069855,16.0,208.0
38.938889,-76.997226,10.0,209.0
38.895914,-77.026064,7.0,210.0
38.9066,-77.05152,15.0,211.0
38.921074,-77.031887,10.0,212.0
38.87501,-77.0024,2.0,213.0
38.920387,-77.025672,9.0,214.0
38.876737,-76.994468,7.0,215.0
38.924144,-77.002098,6.0,216.0
38.967505,-77.027976,4.0,217.0
38.892441,-77.048947,1.0,218.0
38.891805,-76.913563,12.0,219.0
38.895344,-77.016106,5.0,220.0
38.8692,-76.9599,7.0,221.0
38.894832,-76.987633,11.0,222.0
38.908905,-77.04478,5.0,223.0
38.901385,-76.941877,6.0,224.0
38.8896,-76.9769,1.0,225.0
38.90304,-77.019027,14.0,226.0
38.9346,-76.9955,1.0,227.0
38.897063,-76.947446,2.0,228.0
38.878,-76.9607,0.0,229.0
38.884916,-77.005965,7.0,230.0
38.89824328774852,-77.02623546123505,14.0,231.0
38.901755,-77.051084,11.0,232.0
38.890461,-76.988355,6.0,233.0
38.889955,-77.000349,4.0,234.0
38.916442,-77.0682,6.0,235.0
38.8997,-77.023086,24.0,236.0
38.899972,-76.998347,14.0,237.0
38.910972,-77.00495,9.0,238.0
38.900413,-76.982872,16.0,239.0
38.900412,-77.001949,9.0,240.0
38.835737,-76.983144,5.0,241.0
38.951596,-77.012808,7.0,242.0
38.911268,-77.041829,12.0,243.0
38.906299,-76.983221,8.0,244.0
38.885908,-76.991476,8.0,245.0
38.897808,-76.979634,4.0,246.0
38.84322988730829,-76.99937582015991,0.0,247.0
38.897274,-76.994749,10.0,248.0
38.927095,-76.978924,10.0,249.0
38.897195,-76.983575,10.0,250.0
38.928644,-76.990955,2.0,251.0
38.92333,-77.0352,6.0,252.0
38.889988,-76.995193,4.0,253.0
38.912659,-77.017669,12.0,254.0
38.889908,-76.983326,7.0,255.0
38.9418,-77.0251,8.0,256.0
38.915417,-77.012289,11.0,257.0
38.881185,-77.001828,7.0,258.0
38.912719,-77.022155,9.0,259.0
38.88412,-77.017445,9.0,260.0
38.899941626884754,-76.99489653110504,13.0,261.0
38.917761,-77.04062,10.0,262.0
38.86559,-76.952103,3.0,263.0
38.9059,-77.0325,25.0,264.0
38.905995699991145,-77.03980207443237,4.0,265.0
38.920669,-77.04368,5.0,266.0
38.84377,-76.97557,11.0,267.0
38.84623,-76.97703,3.0,268.0
38.905303,-77.050264,19.0,269.0
38.84627,-76.98185,4.0,270.0
38.913046,-77.032008,8.0,271.0
38.9086,-77.0323,23.0,272.0
38.90071062547463,-77.04644858837128,7.0,273.0
38.923203,-77.047637,5.0,274.0
38.9319,-77.0388,16.0,275.0
38.9366839345886,-77.02418088912964,5.0,276.0
38.9375,-77.0328,3.0,277.0
38.894972,-77.003135,17.0,278.0
38.947156,-77.065115,4.0,279.0
38.88432272414662,-77.02601015567778,5.0,280.0
38.961339,-77.027855,4.0,281.0
38.90864,-77.02277,0.0,282.0
38.894474,-76.974828,10.0,283.0
38.915604,-76.983683,4.0,284.0
38.946182,-77.08059,1.0,285.0
38.831516,-77.008133,12.0,286.0
38.925284,-77.032375,6.0,287.0
38.909394,-77.048728,4.0,288.0
38.947607,-77.079382,4.0,289.0
38.90042673988099,-76.98825001716614,25.0,290.0
38.903741450919384,-77.04245209693909,8.0,291.0
38.90375,-77.06269,21.0,292.0
38.905737,-77.02227,2.0,293.0
38.927872,-77.043358,0.0,294.0
38.90273216425078,-76.99514991079923,6.0,295.0
38.85736903758752,-76.97768801437633,1.0,296.0
38.9243,-76.9859,4.0,297.0
38.932128,-77.0235,3.0,298.0
38.942146,-77.038684,8.0,299.0
38.887378,-77.001955,3.0,300.0
38.903732,-76.987211,6.0,301.0
38.863897,-76.990037,3.0,302.0
38.916787,-77.028139,18.0,303.0
38.917622,-77.01597,14.0,304.0
38.894851,-77.02324,2.0,305.0
38.87335,-76.9834,5.0,306.0
38.90293157359119,-76.99840486049652,11.0,307.0
38.902386,-77.005649,15.0,308.0
38.8693365,-76.978519,8.0,309.0
38.882489,-76.990121,4.0,310.0
38.957463,-77.002239,9.0,311.0
38.866611,-76.985238,3.0,312.0
38.879819,-77.037413,2.0,313.0
38.894573,-77.01994,11.0,314.0
38.90509,-76.9941,9.0,315.0
38.903819,-77.0284,13.0,316.0
38.901539,-77.046564,8.0,317.0
38.903584,-77.044789,4.0,318.0
38.9268,-77.0322,2.0,319.0
38.920682,-76.995876,0.0,320.0
38.952369,-77.002721,4.0,321.0
38.975219,-77.016855,4.0,322.0
38.90088,-77.048911,11.0,323.0
38.90093,-77.018677,10.0,324.0
38.894722,-77.045128,5.0,325.0
38.954812,-77.082426,3.0,326.0
38.943837,-77.077078,1.0,327.0
38.897293,-77.05557,4.0,328.0
38.886266,-77.022241,10.0,329.0
38.933668,-76.991016,3.0,330.0
38.88627694506511,-77.02824175357819,9.0,331.0
38.894,-76.947974,1.0,332.0
38.90506687455313,-77.04177886247635,13.0,333.0
38.902674,-77.021392,7.0,334.0
38.897108,-77.011616,25.0,335.0
38.901935,-76.978627,7.0,336.0
38.876211,-77.012443,14.0,337.0
38.907444,-76.986813,8.0,338.0
38.892934,-76.998273,2.0,339.0
38.923389,-77.051833,0.0,340.0
38.886952,-76.996806,5.0,341.0
38.88412,-77.04657,5.0,342.0
38.897857,-77.026975,6.0,343.0
38.896104,-77.049882,6.0,344.0
38.888097,-77.038325,3.0,345.0
38.82373,-77.00223,6.0,346.0
38.928552,-77.032224,0.0,347.0
38.81909,-77.01033,6.0,348.0
38.900358,-77.012108,6.0,349.0
38.899703,-77.008911,13.0,350.0
38.94113915653008,-77.061977237463,3.0,351.0
38.836,-77.0009,6.0,352.0
38.824481,-77.005497,3.0,353.0
38.89967,-77.003666,10.0,354.0
38.958267,-77.084636,4.0,355.0
38.928893,-77.03625,2.0,356.0
38.912652,-77.036278,10.0,357.0
38.83664578175751,-76.99358886515256,17.0,358.0
38.944551,-77.063896,6.0,359.0
38.9126,-77.0135,10.0,360.0
38.934881,-77.072755,2.0,361.0
38.947774,-77.032818,3.0,362.0
38.865784,-76.9784,3.0,363.0
38.873057,-76.971015,5.0,364.0
38.886978,-77.013769,5.0,365.0
38.887312,-77.025762,2.0,366.0
38.918155,-77.004746,4.0,367.0
38.892275,-77.013917,20.0,368.0
38.927497,-76.997194,5.0,369.0
38.90046848783359,-76.9472873210907,1.0,370.0
38.89595455700754,-76.9678448436025,8.0,371.0
38.95674,-77.02791,10.0,372.0
38.89222,-76.99602,10.0,373.0
38.915,-77.0078,1.0,374.0
38.88044,-77.025236,0.0,375.0
38.883011,-76.949709,3.0,376.0
38.928743,-77.012457,1.0,377.0
38.878854378063295,-77.00572729110718,7.0,378.0
38.922649,-77.077271,2.0,379.0
38.907908,-76.99707,8.0,380.0
38.912648,-77.041834,7.0,381.0
38.914751108831155,-77.00356006622314,2.0,382.0
38.949662,-77.027333,6.0,383.0
38.918809,-77.041571,0.0,384.0
38.956555547721955,-77.0198142528534,4.0,385.0
38.956432,-77.032947,5.0,386.0
38.9121,-77.0387,6.0,387.0
38.88291548476762,-76.98790669441223,0.0,388.0
38.8803,-76.9862,8.0,389.0
38.8851,-77.0023,6.0,390.0
38.9101,-77.0444,9.0,391.0
38.8792,-76.9953,3.0,392.0
38.876893,-77.006072,11.0,393.0
38.938736,-77.087171,2.0,394.0
38.931991,-77.032956,1.0,395.0
38.855004,-76.984512,3.0,396.0
38.876751,-77.000736,6.0,397.0
38.897446,-77.009888,15.0,398.0
38.922581,-77.070334,0.0,399.0
38.969489,-77.033509,6.0,400.0
38.91263,-76.971923,10.0,401.0
38.949813,-77.080217,13.0,402.0
38.870695,-76.982359,0.0,403.0
38.897407,-76.925907,8.0,404.0
38.923583,-77.050046,4.0,405.0
38.90733256111448,-77.01536044478416,17.0,406.0
38.898536,-76.931862,9.0,407.0
38.908473,-76.933099,8.0,408.0
38.878433,-77.03023,8.0,409.0
38.908142,-77.038359,7.0,410.0
38.955016,-77.069956,10.0,411.0
38.90849,-77.063586,4.0,412.0
38.908643,-77.012365,5.0,413.0
38.903658,-77.031737,9.0,414.0
38.930282,-77.055599,1.0,415.0
38.905126,-77.056887,12.0,416.0
38.896544,-76.96012,8.0,417.0
38.844711,-76.987823,0.0,418.0
38.88732,-76.983569,6.0,419.0
38.9024,-77.02622,6.0,420.0
38.89892546716842,-77.04885238395946,2.0,421.0
38.91261359469192,-77.07432264076488,0.0,422.0
38.9154,-77.0446,7.0,423.0
38.919077,-77.000648,2.0,424.0
38.9172,-77.0259,10.0,425.0
38.936298,-77.087128,5.0,426.0
38.912644,-77.04564,12.0,427.0
38.925636,-77.027112,15.0,428.0
38.905424,-77.034674,10.0,429.0
38.93293,-76.979517,10.0,430.0
38.88345,-77.021741,8.0,431.0
38.924088,-77.040787,8.0,432.0
38.8974996,-76.9695094,11.0,433.0
38.893511,-77.041544,2.0,434.0
38.8952,-77.0436,8.0,435.0
38.9003,-77.0429,0.0,436.0
38.893028,-77.026013,3.0,437.0
38.898412,-77.043182,5.0,438.0
38.900283,-77.029822,0.0,439.0
38.90571079190728,-77.0473176240921,13.0,440.0
38.93132185874559,-77.02824711799622,3.0,441.0
38.89968,-77.041539,9.0,442.0
38.899632,-77.031686,0.0,443.0
38.892244,-77.033234,3.0,444.0
38.808161,-77.100796,9.0,445.0
38.7930647,-77.049436,5.0,446.0
38.90276,-77.03863,5.0,447.0
38.802738,-77.0824626,8.0,448.0
38.82595,-77.058541,7.0,449.0
38.910993,-76.985854,4.0,450.0
38.903649,-77.034918,7.0,451.0
38.9037315,-77.0675285,19.0,452.0
38.890539,-77.049383,11.0,453.0
38.8904955,-77.0172465,10.0,454.0
38.9190185,-77.034449,15.0,455.0
38.888255,-77.0494365,8.0,456.0
38.8885525,-77.032427,6.0,457.0
38.888774,-77.028694,19.0,458.0
38.8840581,-76.9863852,15.0,459.0
38.866277,-77.010551,14.0,460.0
38.902061,-77.038322,8.0,461.0
38.910674,-77.03188,14.0,462.0
38.902,-77.03353,6.0,463.0
38.89903234416315,-77.03335404396057,6.0,464.0
38.9170363119413,-77.0957824587822,5.0,465.0
38.901136451737045,-77.03445106744766,17.0,466.0
38.91693645323652,-77.0296311378479,11.0,467.0
38.88548252734069,-76.97718724608421,1.0,468.0
38.999634,-77.109647,5.0,469.0
38.96577499342219,-77.06862643361092,8.0,470.0
38.81074147938705,-77.0446327328682,8.0,471.0
38.86968314861632,-77.01081544160843,2.0,472.0
38.958098,-77.013821,15.0,473.0
39.038423828518326,-77.05102041363716,2.0,474.0
38.852903,-77.045916,16.0,475.0
38.890863,-77.074893,10.0,476.0
38.853002,-77.059496,2.0,477.0
38.895068,-77.07386,2.0,478.0
38.88625606692058,-77.08426237106323,5.0,479.0
38.863743,-77.013814,13.0,480.0
38.871841,-77.00591,1.0,481.0
38.876823,-77.002161,9.0,482.0
38.94796174822241,-77.02154964208603,12.0,483.0
38.918036,-77.045487,6.0,484.0
38.883318,-76.925315,1.0,485.0
38.81403111409755,-77.04281687736511,12.0,486.0
38.8378458,-77.0934784,2.0,487.0
38.861056,-77.049417,6.0,488.0
38.837306,-77.106111,5.0,489.0
38.878771,-76.97093,1.0,490.0
38.809709,-77.135788,4.0,491.0
38.858971,-77.05323,8.0,492.0
38.852929,-77.049723,4.0,493.0
38.815842,-77.110014,1.0,494.0
38.854019,-77.118106,5.0,495.0
38.89830173667249,-77.04691261053085,7.0,496.0
38.89484064247075,-76.99591577053069,13.0,497.0
39.12582811177034,-77.16705948114395,2.0,498.0
38.902826,-77.060173,17.0,499.0
38.8962260397813,-76.99278563261032,11.0,500.0
38.828887,-77.110588,2.0,501.0
38.857866,-77.05949,2.0,502.0
38.88701007722296,-77.09525674581528,7.0,503.0
38.861663,-76.969184,5.0,504.0
38.995256441231696,-77.02912420034409,5.0,505.0
38.896086906318665,-77.07145214080809,4.0,506.0
38.8904,-77.0889,6.0,507.0
38.8881,-77.09308,4.0,508.0
38.891696,-77.0846,5.0,509.0
39.00031,-76.878005,4.0,510.0
39.006191,-76.891247,5.0,511.0
38.85438051517749,-77.05341160297394,10.0,512.0
39.002459,-76.916243,4.0,513.0
38.8426,-77.0502,3.0,514.0
38.86331354301248,-77.06341624259947,4.0,515.0
38.966344,-77.359341,4.0,516.0
38.936061,-77.337775,7.0,517.0
38.970807,-77.326761,7.0,518.0
38.973625,-77.351837,4.0,519.0
38.9667,-77.348487,1.0,520.0
38.944013,-77.353552,5.0,521.0
38.959025,-77.339295,10.0,522.0
38.94335,-77.362304,3.0,523.0
38.938797,-77.354067,8.0,524.0
38.941496,-77.366499,7.0,525.0
38.933923,-77.331653,7.0,526.0
38.93051,-77.345874,5.0,527.0
38.863556,-77.077201,8.0,528.0
38.896553,-77.06714,9.0,529.0
38.93714618600706,-77.36786842346191,8.0,530.0
38.853124,-77.005174,0.0,531.0
38.812711,-77.061715,13.0,532.0
38.889396070923496,-77.09186241030693,2.0,533.0
38.852248,-77.105022,9.0,534.0
38.90970086204467,-77.08564639091492,3.0,535.0
38.87056104566178,-77.04409494996071,6.0,536.0
38.859305619982344,-77.10201859474182,7.0,537.0
38.97850255151454,-77.35345423221588,7.0,538.0
38.84065400672152,-77.08865851163864,8.0,539.0
38.857049,-77.116339,2.0,540.0
38.89646474748647,-77.0333808660507,9.0,541.0
38.818509,-77.105564,2.0,542.0
38.92240364115446,-76.9960230588913,6.0,543.0
38.955314,-77.368416,13.0,544.0
38.983199,-77.341823,5.0,545.0
38.899811,-76.844604,6.0,546.0
38.966848,-77.329282,5.0,547.0
38.878601,-77.222808,0.0,548.0
38.88715,-77.16212,0.0,549.0
38.865029,-77.039511,13.0,550.0
38.909858,-77.038566,8.0,551.0
38.917716,-77.022684,0.0,552.0
38.927294,-77.103662,15.0,553.0
38.918199,-77.027171,6.0,554.0
38.85778509815245,-77.05169767141342,10.0,555.0
38.90731645057457,-77.00069814920425,1.0,556.0
38.867373,-76.988039,10.0,557.0
38.92812111132096,-77.0237946510315,3.0,558.0
38.929464,-77.027822,20.0,559.0
38.9308,-77.0315,0.0,560.0
38.804486,-77.132334,5.0,561.0
38.811361,-77.109975,6.0,562.0
38.806002,-77.055911,1.0,563.0
38.932456900063606,-76.99353396892548,11.0,564.0
38.899984,-76.992725,12.0,565.0
38.83728,-77.060899,6.0,566.0
38.800703,-77.048043,4.0,567.0
38.824793,-77.085066,5.0,568.0
38.832431,-77.049772,9.0,569.0
38.8368376462948,-77.05727398395538,7.0,570.0
38.862303,-77.059936,0.0,571.0
38.83863,-77.116206,4.0,572.0
38.850688,-77.05152,0.0,573.0
38.90980062655191,-77.03442692756653,11.0,574.0
38.827674,-77.088985,4.0,575.0
38.814305,-77.11893,5.0,576.0
38.820152,-77.093879,1.0,577.0
38.848466,-77.051514,2.0,578.0
38.812187,-77.10994,5.0,579.0
38.809607,-77.128908,3.0,580.0
38.8048011316311,-77.04467564821243,7.0,581.0
38.813474,-77.053734,0.0,582.0
38.8000766,-77.1299434,17.0,583.0
38.801947,-77.040293,11.0,584.0
38.926102,-77.03665,2.0,585.0
38.9177645,-77.032096,13.0,586.0
38.915544,-77.038252,3.0,587.0
38.89696,-77.00493,33.0,588.0
38.93362634918731,-77.0575301349163,1.0,589.0
38.893993,-77.07857,2.0,590.0
39.084379,-77.146866,3.0,591.0
38.817019,-77.050105,8.0,592.0
38.882629,-77.109366,6.0,593.0
38.863508,-77.084259,12.0,594.0
38.999679,-77.051168,7.0,595.0
38.884734,-77.093485,4.0,596.0
38.876393,-77.107735,1.0,597.0
38.90257109172293,-77.01366662979126,11.0,598.0
38.905509,-77.065246,10.0,599.0
38.914173639930105,-77.02159523963928,16.0,600.0
38.88397,-77.10783,4.0,601.0
38.89846038350939,-77.05305218696594,13.0,602.0
38.874248,-77.104784,11.0,603.0
38.802677,-77.063562,5.0,604.0
38.804378,-77.060866,9.0,605.0
38.89816396413188,-77.03189760446548,4.0,606.0
38.881116725009335,-77.01769933104515,15.0,607.0
38.9228491613136,-77.04252451658249,8.0,608.0
38.87380771851765,-77.15284913778305,10.0,609.0
38.88637194054526,-77.01770067214966,18.0,610.0
38.89832574246664,-77.02795878052711,14.0,611.0
38.84154815912996,-77.10773438215256,12.0,612.0
38.884702715757356,-77.10030198097229,7.0,613.0
38.87887,-77.1207,5.0,614.0
38.88081,-77.090792,7.0,615.0
38.884961,-77.08777,0.0,616.0
38.844015,-77.050537,4.0,617.0
38.845028,-77.051956,7.0,618.0
38.889365,-77.077294,2.0,619.0
38.883921,-77.116817,6.0,620.0
38.880012,-77.107854,15.0,621.0
38.882425,-77.112754,3.0,622.0
38.874820772513424,-77.0207878947258,10.0,623.0
38.87674677186661,-77.02094480395317,10.0,624.0
38.911213594521456,-77.0022565126419,7.0,625.0
38.939674172021654,-77.07527697086334,3.0,626.0
38.90244372501735,-77.00824588537216,3.0,627.0
38.932242581555066,-76.9961330294609,3.0,628.0
38.9055785,-77.027313,22.0,629.0
38.92248919793601,-76.99267029762268,1.0,630.0
38.9223243445331,-77.02708572149277,2.0,631.0
38.8963,-77.045,9.0,632.0
38.924784585266956,-77.02232748270035,0.0,633.0
38.86307336639078,-77.05454081296921,11.0,634.0
38.870823939537914,-77.01191514730453,8.0,635.0
38.95366314394005,-77.02561318874359,11.0,636.0
38.802893,-77.072558,5.0,637.0
38.93713516763736,-77.01912492513657,13.0,638.0
38.890461,-76.96128,16.0,639.0
38.92123296360907,-77.01813519001007,7.0,640.0
38.880760725950644,-77.00574070215225,17.0,641.0
38.907286773254675,-76.99916660785675,3.0,642.0
38.89221235271478,-77.04307436943054,1.0,643.0
38.88791377249907,-77.12801456451415,7.0,644.0
38.846222,-77.069275,13.0,645.0
38.975,-77.01121,11.0,646.0
38.84404,-77.098093,14.0,647.0
38.847129045742605,-77.1125502884388,2.0,648.0
38.875022735559995,-77.00575411319733,5.0,649.0
38.84232,-77.089555,8.0,650.0
38.904252,-77.127776,1.0,651.0
38.848454,-77.084918,1.0,652.0
38.863833,-77.080319,4.0,653.0
38.953691,-77.359717,0.0,654.0
38.9523,-77.361466,8.0,655.0
38.89386,-77.070862,15.0,656.0
38.88992,-77.071301,13.0,657.0
38.864838,-77.056873,11.0,658.0
38.84736,-77.095431,7.0,659.0
38.8444,-77.085931,9.0,660.0
38.860343910937175,-77.09367156028748,4.0,661.0
38.898301,-77.039643,9.0,662.0
38.85033657788445,-77.1009886264801,11.0,663.0
38.897218,-77.072143,13.0,664.0
38.8901554,-77.183178,5.0,665.0
38.820932,-77.053096,1.0,666.0
39.085394,-77.145803,2.0,667.0
38.9216413,-76.9556866,6.0,668.0
38.9252,-76.964896,4.0,669.0
38.921986,-76.960696,9.0,670.0
38.889935,-76.93723,3.0,671.0
38.907073,-77.002109,4.0,672.0
38.879575,-76.926596,3.0,673.0
38.872976,-76.935246,4.0,674.0
38.903819,-77.011987,6.0,675.0
38.86044,-76.983585,3.0,676.0
38.920687266851736,-77.233165204525,5.0,677.0
38.821563,-77.001095,13.0,678.0
38.91613684808331,-77.02200293540955,1.0,679.0
38.870353,-76.945283,3.0,680.0
38.963782,-77.349764,9.0,681.0
38.937849,-76.993509,1.0,682.0
38.935839,-77.106913,12.0,683.0
38.89428,-77.023979,0.0,684.0
38.898097,-77.023924,10.0,685.0
38.901104,-77.028061,4.0,686.0
38.906767059408295,-77.03862726688385,8.0,687.0
38.872964,-77.017585,8.0,688.0
38.876822693625876,-77.01777443289757,24.0,689.0
38.943596,-76.990157,3.0,690.0
38.976061,-77.026747,12.0,691.0
39.04104,-76.987125,7.0,692.0
38.983627,-77.006311,16.0,693.0
38.901633245815496,-77.04338550567627,5.0,694.0
38.896604,-77.039778,7.0,695.0
